Order_ID,Date,Product,Category,Region,Quantity,Sales
1001,1/5/2026,Laptop,Electronics,North,2,1800
1002,1/7/2026,Mouse,Accessories,South,5,125
1003,1/10/2026,Keyboard,Accessories,East,3,210
1004,1/12/2026,Monitor,Electronics,West,2,600
1005,1/15/2026,Headphones,Accessories,North,4,320
1006,1/18/2026,Laptop,Electronics,East,1,900
1007,1/20/2026,Printer,Electronics,South,2,500
1008,1/22/2026,Keyboard,Accessories,West,5,350
1009,1/25/2026,Mouse,Accessories,North,8,200
1010,1/28/2026,Monitor,Electronics,East,3,900
1011,2/2/2026,Laptop,Electronics,South,2,1800
1012,2/5/2026,Headphones,Accessories,West,6,480
1013,2/8/2026,Printer,Electronics,North,1,250
1014,2/11/2026,Mouse,Accessories,East,10,250
1015,2/14/2026,Keyboard,Accessories,South,4,280
1016,2/17/2026,Monitor,Electronics,West,2,600
1017,2/20/2026,Laptop,Electronics,North,3,2700
1018,2/23/2026,Headphones,Accessories,East,5,400
1019,2/25/2026,Printer,Electronics,South,3,750
1020,2/28/2026,Mouse,Accessories,West,7,175
1021,3/3/2026,Laptop,Electronics,East,2,1800
1022,3/6/2026,Keyboard,Accessories,North,6,420
1023,3/9/2026,Monitor,Electronics,South,4,1200
1024,3/12/2026,Headphones,Accessories,West,3,240
1025,3/15/2026,Printer,Electronics,East,2,500
1026,3/18/2026,Mouse,Accessories,North,9,225
1027,3/21/2026,Laptop,Electronics,South,1,900
1028,3/24/2026,Keyboard,Accessories,West,7,490
1029,3/27/2026,Monitor,Electronics,North,2,600
1030,3/30/2026,Headphones,Accessories,East,8,640
1031,4/2/2026,Printer,Electronics,West,1,250
1032,4/5/2026,Laptop,Electronics,North,2,1800
1033,4/8/2026,Mouse,Accessories,South,6,150
1034,4/11/2026,Keyboard,Accessories,East,5,350
1035,4/14/2026,Monitor,Electronics,West,3,900
1036,4/17/2026,,,,,
